R_Coleoptile_Biomass	Coleoptile Biomass reaction
R_CYStv	cysteine transport, vacuolar
R_H2Otv	H2O transport, vacuolar
R_GTHRDabcv	Reduced glutathione via ABC system (vacuolar)
R_THFtv	Tetrahydrofolate transport, diffusion, vacuolar
R_HPGLUtv	Tetrahydropteroyltri-L-glutamate transport, diffusion, vacuolar
R_NO2tvr	O2 transport (diffusion)
R_NO3tvr	NO3 transport (diffusion)
R_O2tv	O2 transport (diffusion)
R_H2O2tv	hydrogen peroxide transport via diffusion, vacuole
R_FA140COAabcx	fatty acyl-CoA transport via ABC system (14:0), peroxisomal
R_FA160COAabcx	fatty acyl-CoA transport via ABC system (16:0), peroxisomal
R_FA161COAabcx	fatty acyl-CoA transport via ABC system (16:1), peroxisomal
R_FA180COAabcx	fatty acyl-CoA transport via ABC system (18:0), peroxisomal
R_FA181COAabcx	fatty acyl-CoA transport via ABC system (18:1), peroxisomal
R_FA182COAabcx	fatty acyl-CoA transport via ABC system (18:2), peroxisomal
R_FA183COAabcx	fatty acyl-CoA transport via ABC system (18:3), peroxisomal
R_ATP2tx	AMP/ATP transporter, peroxisomal
R_ATPtx	ADP/ATP transporter, peroxisomal
R_GLYtx	Amino acid transporter (gly), peroxisomal
R_SERtx	Amino acid transporter (ser-L), peroxisomal
R_GLYCLTtx	glycolate transport, peroxisomal
R_MALOAAtx	malate/oxaloacetate shuttle
R_H2Otx	H2O transport, peroxisomal
R_CITx	citrate transport, peroxisomal
R_CO2tx	CO2 transport, peroxisomal
R_O2tx	O2 transport, peroxisomal
R_PItx	phosphate peroxisomal transport via proton symport
R_CITtcx	citrate/isocitrate antiport into peroxisome
R_ACtx	acetate transport, peroxisomal
R_ALAtx	Amino acid transporter (ala-L), peroxisomal
R_SUCCtx	succinate transporter, peroxisome
R_NH4tx	Ammonium transporter, peroxisomal
R_THRtx	Amino acid transporter (thr-L), peroxisomal
R_ACCOAtx	Acetyl-CoA:CoA antiporter, peroxisomal
R_COA_LPAREN_h_RPAREN_tx	CoA transport, peroxisome
R_GLXtx	glyoxylate transport, peroxisomal
R_GLUtx	L-glutamate transport, peroxisome
R_AKGtx	alpha-Ketoglutarate transport, peroxisome
R_GCOAtx	Glutaryl-CoA transport, peroxisome
R_GLYCRtx	Glycerate transport, peroxisome
R_FADH2tx	FADH2 transport, peroxisome
R_FADtx	FAD transport by free diffusion, peroxisome
R_NADPH2tx	NADPH transport, peroxisome
R_NADPtx	NADP transport by free diffusion, peroxisome
R_MTHGXLtx	Methyl glyoxal transport via diffucision
R_B2COAtx	Crotonoyl-CoA transport
R_FA40COAtx	butanoyl-CoA transport (peroxisome)
R_JAStx	Jasmonate transport, peroxisomal
R_OPDAtx	OPDA transport, peroxisomal
R_SO4tx	Sulfate transport, peroxisomal
R_FA140CoAr	fatty acyl CoA transport (14:0), ER
R_FA160CoAr	fatty acyl CoA transport (16:0), ER
R_FA161CoAr	fatty acyl CoA transport (16:1), ER
R_FA180CoAr	fatty acyl CoA transport (18:0), ER
R_FA181CoAr	fatty acyl CoA transport (18:1), ER
R_FA182CoAr	fatty acyl CoA transport (18:2), ER
R_FA183CoAr	fatty acyl CoA transport (18:3), ER
R_FA140r	fatty acid transport (14:0), ER
R_FA160r	fatty acid transport (16:0), ER
R_FA161r	fatty acid transport (16:1), ER
R_FA180r	fatty acid transport (18:0), ER
R_FA181r	fatty acid transport (18:1), ER
R_FA182r	fatty acid transport (18:2), ER
R_FA183r	fatty acid transport (18:3), ER
R_NADPH2tr	NADPH transport, ER
R_NADPtr	NADP transport by free diffusion, ER
R_UDPGr	UDP-glucose transport, ER
R_GLUSIDEr	Glucosylceramide transport, ER
R_HYDRO16tr	16-Hydroxypalmitate transport, ER
R_HYDRO18tr	18-Hydroxypalmitate transport, ER
R_DHYDRO1016tr	10,16-dihydroxypalmitate transport, ER
R_DHYDRO1018tr	9,10-epoxy-18-hydroxystearate transport, ER
R_THYDRO91018tr	9,10,18-trihydroxystearate transport, ER
R_ATPtr	ADP/ATP transporter, ER
R_ATP2tr	AMP/ATP transporter, ER
R_H2Otr	H2O transport, ER
R_CO2tr	CO2 transport, ER
R_O2tr	O2 transport, ER
R_MALCOAtr	Malonyl-CoA transport, ER
R_Pitr	phosphate ER transport via proton symport
R_SERtr	Amino acid transporter (ser-L), ER
R_COA_LPAREN_h_RPAREN_tr	CoA transport, ER
R_GLYC3Ptr	glycerol 3-phosphate transport (ER)
R_TRIGLYCtr	Triacylglycerol transport, ER
R_CTPtr	CTP transport, ER
R_CDPDAGtr	CDP-diacylglycerol transport, ER
R_PTD1INOtr	1-Phosphatidyl-D-myo-inositol transport, ER
R_PEtr	Phosphatidylethanolamine transport, ER
R_PStr	Phosphatidylserine transport, ER
R_PGPtr	Phosphatidylglycerophosphate transport, ER
R_CHOLtr	Choline transport, ER
R_INOSTtr	Inositol transport, ER
R_FADH2tr	FADH2 transport, ER
R_FADtr	FAD transport by free diffusion, ER
R_O2tu	O2 thylakoid trnasport
R_H2Otu	H2O transport by passive diffusion, Thylakoid Lumen
R_DM_12O9DD_LPAREN_s_RPAREN_	Sink needed to allow 12-oxo-c-9-dodecenoate to leave system
R_DM_3_DASH_NON_LPAREN_s_RPAREN_	Sink needed to allow (3Z)-nonenal to leave system
R_DM_3_DASH_NOND_LPAREN_s_RPAREN_	Sink needed to allow (3Z,6Z)-nonadienal to leave system
R_DM_9_DASH_NONAN_LPAREN_s_RPAREN_	Sink needed to allow 9-oxo-nonanoate to leave system
R_DM_ACRTNL_LPAREN_s_RPAREN_	Sink needed to allow C25-Allenic-apo-aldehyde to leave system
R_DM_ACT_LPAREN_s_RPAREN_	Sink needed to allow acetone to leave system
R_DM_ADE_LPAREN_s_RPAREN_	Sink needed to allow Adenine to leave system
R_DM_AFZL_LPAREN_c_RPAREN_	Sink needed to allow Afzelechin to leave system
R_DM_AMOB_LPAREN_c_RPAREN_	Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system
R_DM_AMYGD_LPAREN_c_RPAREN_	Sink needed to allow (R)-Amygdalin to leave system
R_DM_APGNNP_LPAREN_c_RPAREN_	Sink needed to allow Apigenin 7-O-neohesperidoside to leave system
R_DM_AVITE1_LPAREN_s_RPAREN_	Sink needed to allow alpha-Tocopherol to leave system
R_DM_BGPTN_LPAREN_c_RPAREN_	Sink needed to allow bergapten to leave system
R_DM_BILIVERD_LPAREN_s_RPAREN_	Sink needed to allow Biliverdin to leave system
R_DM_BRSNL_LPAREN_c_RPAREN_	Sink needed to allow Brassinolide to leave system
R_DM_BTN_LPAREN_c_RPAREN_	Sink needed to allow Biotin to leave system
R_DM_BUTIN_LPAREN_c_RPAREN_	Sink needed to allow Butin to leave system
R_DM_CADAVERINE_LPAREN_s_RPAREN_	Sink needed to allow Cadaverine to leave system
R_DM_CAMP_LPAREN_c_RPAREN_	Sink needed to allow cyclic-AMP to leave system
R_DM_CAMPSTFER_LPAREN_c_RPAREN_	Sink needed to allow campesteryl ferulate to leave system
R_DM_CATCN_LPAREN_c_RPAREN_	Sink needed to allow D-Catechin to leave system
R_DM_CERDT_LPAREN_r_RPAREN_	Sink needed to allow cerotdioate (n-C26:0) to leave system
R_DM_CEROOL_LPAREN_r_RPAREN_	Sink needed to allow Cerotyl alcohol to leave system
R_DM_CHSTEROL_LPAREN_c_RPAREN_	Sink needed to allow Cholesterol to leave system
R_DM_CHUMU_LPAREN_c_RPAREN_	Sink needed to allow Cohumulone to leave system
R_DM_CNDM35DG_LPAREN_c_RPAREN_	Sink needed to allow cyanidin-3,5-diglucoside to leave system
R_DM_COA_LPAREN_c_RPAREN_	demand removing excess coa
R_DM_COUMN_LPAREN_c_RPAREN_	Sink needed to allow coumarin to leave system
R_DM_COUMOH_LPAREN_c_RPAREN_	Sink needed to allow 4-Coumaryl alcohol to leave system
R_DM_CPP1_LPAREN_s_RPAREN_	Sink needed to allow Coproporphyrin I to leave system
R_DM_CRPE_LPAREN_c_RPAREN_	Sink needed to allow beta-Caryophyllene to leave system
R_DM_CYARTFER_LPAREN_c_RPAREN_	Sink needed to allow Cycloartenyl ferulate to leave system
R_DM_CYTC_LPAREN_m_RPAREN_	Sink needed to allow Cytochrome c to leave system
R_DM_CYTC_LPAREN_s_RPAREN_	Sink needed to allow Cytochrome c to leave system
R_DM_C_DASH_ZTN7G_LPAREN_c_RPAREN_	Sink needed to allow cis-zeatin-7-N-glucoside to leave system
R_DM_C_DASH_ZTN9G_LPAREN_c_RPAREN_	Sink needed to allow cis-zeatin-9-N-glucoside to leave system
R_DM_ZTNG_LPAREN_c_RPAREN_	Sink needed to allow cis-Zeatin-O-glucoside to leave system
R_DM_DHBZCAROT_LPAREN_s_RPAREN_	Sink needed to allow 7,8-Dihydro-beta-carotene to leave system
R_DM_DHZ7G_LPAREN_c_RPAREN_	Sink needed to allow dihydrozeatin-7-N-glucoside to leave system
R_DM_DHZ9G_LPAREN_c_RPAREN_	Sink needed to allow dihydrozeatin-9-N-glucoside to leave system
R_DM_DHZG_LPAREN_c_RPAREN_	Sink needed to allow Dihydrozeatin-O-glucoside to leave system
R_DM_DVCHLDA_LPAREN_s_RPAREN_	Sink needed to allow Divinyl chlorophyllide a to leave system
R_DM_EIHKAUR_LPAREN_c_RPAREN_	Sink needed to allow ent-2alpha-Hydroxyisokaurene to leave system
R_DM_ELM_LPAREN_c_RPAREN_	Sink needed to allow beta-elemene to leave system
R_DM_ENTB_LPAREN_s_RPAREN_	Sink needed to allow enterobactin to leave system
R_DM_EPCTCN_LPAREN_c_RPAREN_	Sink needed to allow Epicatechin to leave system
R_DM_EPLZN_LPAREN_c_RPAREN_	Sink needed to allow Epiafzelechin to leave system
R_DM_ERGTOL_LPAREN_c_RPAREN_	Sink needed to allow Ergosterol to leave system
R_DM_ETHYLENE_LPAREN_c_RPAREN_	Sink needed to allow Ethylene to leave system
R_DM_GA13_LPAREN_c_RPAREN_	Sink needed to allow Gibberellin A13 to leave system
R_DM_GA17_LPAREN_c_RPAREN_	Sink needed to allow gibberellin A17 to leave system
R_DM_GA29CAT_LPAREN_c_RPAREN_	Sink needed to allow gibberellin A29-catabolite to leave system
R_DM_GA34_LPAREN_c_RPAREN_	Sink needed to allow Gibberellin A34 to leave system
R_DM_GA51CAT_LPAREN_c_RPAREN_	Sink needed to allow Gibberellin A51-catabolite to leave system
R_DM_GA8CAT_LPAREN_c_RPAREN_	Sink needed to allow Gibberellin A8-catabolite to leave system
R_DM_GA98_LPAREN_c_RPAREN_	Sink needed to allow Gibberallin A 98 to leave system
R_DM_GENTDP_LPAREN_c_RPAREN_	Sink needed to allow Gentiodelphin to leave system
R_DM_HUML_LPAREN_c_RPAREN_	Sink needed to allow alpha-Humulene to leave system
R_DM_HUMU_LPAREN_c_RPAREN_	Sink needed to allow Humulone to leave system
R_DM_IORNTN2GCOUM_LPAREN_c_RPAREN_	Sink needed to allow Isoorientin-2-(6-coumaroyl)-O-glucoside to leave system
R_DM_IPADNE7G_LPAREN_c_RPAREN_	Sink needed to allow isopentenyladenine-7-N-glucoside to leave system
R_DM_IPADNE9G_LPAREN_c_RPAREN_	Sink needed to allow isopentenyladenine-9-N-glucoside to leave system
R_DM_ISCPRN2GCOUM_LPAREN_c_RPAREN_	Sink needed to allow Isoscoparin-2-O-(6-coumaroyl)-glucoside to leave system
R_DM_ISCPRN2GFER_LPAREN_c_RPAREN_	Sink needed to allow Isoscoparin-2-O-(6-feruloyl)-glucoside to leave system
R_DM_IVTXN2GFER_LPAREN_c_RPAREN_	Sink needed to allow Isovitexin-2-O-(6-feruloyl)-glucoside to leave system
R_DM_JASILE_LPAREN_c_RPAREN_	Sink needed to allow jasmonoyl-isoleucine to leave system
R_DM_JASLEU_LPAREN_c_RPAREN_	Sink needed to allow jasmonoyl-leucine to leave system
R_DM_JASVAL_LPAREN_c_RPAREN_	Sink needed to allow jasmonoyl-valine to leave system
R_DM_JASKMPFL3G_LPAREN_c_RPAREN_	Sink needed to allow Kaempferol 3-O-glucoside to leave system
R_DM_LACXAN_LPAREN_s_RPAREN_	Sink needed to allow Lactucaxanthin to leave system
R_DM_LGNCOL_LPAREN_r_RPAREN_	Sink needed to allow lignoceryl alcohol to leave system
R_DM_LGNDT_LPAREN_r_RPAREN_	Sink needed to allow lignocerdioate (n-C24:0) to leave system
R_DM_LIM_LPAREN_s_RPAREN_	Sink needed to allow (S)-Limonene to leave system
R_DM_LTNNP_LPAREN_c_RPAREN_	Sink needed to allow Luteolin 7-O-neohesperidoside to leave system
R_DM_LUTEIN_LPAREN_c_RPAREN_	Sink needed to allow Lutein to leave system
R_DM_MNQNNE_LPAREN_s_RPAREN_	Sink needed to allow Menaquinone 8 to leave system
R_DM_MOMA_LPAREN_s_RPAREN_	Sink needed to allow Momilactone A to leave system
R_DM_ORNTN_LPAREN_c_RPAREN_	Sink needed to allow Orientin to leave system
R_DM_OZLN_DASH_C_LPAREN_c_RPAREN_	Sink needed to allow oryzalexin C to leave system
R_DM_OZLN_DASH_E_LPAREN_c_RPAREN_	Sink needed to allow oryzalexin E to leave system
R_DM_OZLN_DASH_F_LPAREN_c_RPAREN_	Sink needed to allow oryzalexin F to leave system
R_DM_OZLN_DASH_S_LPAREN_c_RPAREN_	Sink needed to allow oryzalexin S to leave system
R_DM_PHAS_LPAREN_s_RPAREN_	Sink needed to allow O-Phospho-L-homoserine to leave system
R_DM_PHOM_LPAREN_c_RPAREN_	Sink needed to allow Menaquinone 8 to leave system
R_DM_photonDrain_LPAREN_u_RPAREN_	demand removing excess photon from system
R_DM_PHTC_DASH_A_LPAREN_c_RPAREN_	Sink needed to allow phytocassane A to leave system
R_DM_PHTC_DASH_B_LPAREN_c_RPAREN_	Sink needed to allow phytocassane B to leave system
R_DM_PHTC_DASH_D_LPAREN_c_RPAREN_	Sink needed to allow phytocassane D to leave system
R_DM_PHTC_DASH_E_LPAREN_c_RPAREN_	Sink needed to allow phytocassane E to leave system
R_DM_PINBAN_LPAREN_c_RPAREN_	Sink needed to allow Pinobanksin to leave system
R_DM_PLAST_LPAREN_s_RPAREN_	Sink needed to allow Plastoquinone A to leave system
R_DM_PLGNG_LPAREN_c_RPAREN_	Sink needed to allow Pelargonidin 3-O-glucoside to leave system
R_DM_PQNNE_LPAREN_s_RPAREN_	Sink needed to allow Phylloquinone to leave system
R_DM_PRIMARDN_LPAREN_s_RPAREN_	Sink needed to allow ent-Pimara-8(14),15-diene to leave system
R_DM_QRCTN3G_LPAREN_c_RPAREN_	Sink needed to allow Quercetin 3-O-glucoside to leave system
R_DM_SCLGN_LPAREN_c_RPAREN_	Sink needed to allow Secologanin to leave system
R_DM_SQ12DGR_OS_LPAREN_s_RPAREN_	Sink needed to allow Sulfoquinovosyldiacylglycerol to leave system
R_DM_SRNTN_LPAREN_c_RPAREN_	Sink needed to allow Serotonin to leave system
R_DM_STCSD_LPAREN_c_RPAREN_	Sink needed to allow Strictosidine to leave system
R_DM_TRICING_LPAREN_c_RPAREN_	Sink needed to allow Tricin-O-glucoside to leave system
R_DM_TRPN_LPAREN_c_RPAREN_	Sink needed to allow Tropinone to leave system
R_DM_T_DASH_ZTN7G_LPAREN_c_RPAREN_	Sink needed to allow trans-zeatin-7-N-glucoside to leave system
R_DM_T_DASH_ZTN9G_LPAREN_c_RPAREN_	Sink needed to allow trans-zeatin-9-N-glucoside to leave system
R_DM_T_DASH_ZTNG_LPAREN_c_RPAREN_	Sink needed to allow trans-zeatin-O-glucoside to leave system
R_DM_T_DASH_ZTNR_LPAREN_c_RPAREN_	Sink needed to allow trans-Zeatin riboside to leave system
R_DM_VTXN_LPAREN_c_RPAREN_	Sink needed to allow Vitexin to leave system
R_DM_YVITE_LPAREN_s_RPAREN_	Sink needed to allow gamma-Tocopherol to leave system
R_DM_PSI	demand removing excess photon from system
R_DM_PSII	demand removing excess photon from system
